INTEGER,Rank ,School Name ,20 Year Net ROI,Total 4 Year Cost (USD),Graduation Rate (%),Typical Years to Graduate
1,1,United States Merchant Marine Academy(Service Academy),1094000,34900,76,4
2,2,United States Military Academy(Service Academy),1041000,0,86,4
3,3,Massachusetts Institute of Technology(Private),1015000,249000,93,4
4,4,United States Naval Academy(Service Academy),1004000,0,86,4
5,5,SUNY Maritime College(In-State),1003000,95300,57,5
6,6,Harvey Mudd College(Private),978000,272000,93,4
7,7,SUNY Maritime College(Out-of-State),964000,134000,57,5
8,8,Colorado School of Mines(In-State),909000,126000,77,4
9,9,United States Air Force Academy(Service Academy),905000,0,83,4
10,10,California Institute of Technology(Private),887000,250000,94,4
11,11,Albany College of Pharmacy and Health Sciences(Private),870000,178000,71,6
12,12,Georgia Institute of Technology-Main Campus(In-State),856000,101000,86,5
13,13,Colorado School of Mines(Out-of-State),840000,195000,77,4
14,14,The California Maritime Academy(In-State),837000,87700,62,4
15,15,Stevens Institute of Technology(Private),832000,250000,83,5
16,16,Stanford University(Private),811000,255000,94,4
17,17,Webb Institute(Private),801000,257000,83,4
18,18,Princeton University(Private),797000,240000,97,4
19,19,Babson College(Private),793000,254000,91,4
20,19,The California Maritime Academy(Out-of-State),793000,132000,62,4
21,21,Massachusetts Maritime Academy(In-State),783000,92200,76,4
22,22,Georgia Institute of Technology-Main Campus(Out-of-State),777000,180000,86,5
23,22,Worcester Polytechnic Institute(Private),777000,242000,86,4
24,24,Kettering University(Private),766000,215000,53,5
25,25,Harvard University(Private),760000,254000,97,4
26,26,University of California-Berkeley(In-State),759000,139000,92,4
27,27,Missouri University of Science and Technology(In-State),753000,87300,64,5
28,28,Rose-Hulman Institute of Technology(Private),751000,239000,82,4
29,29,University of Pennsylvania(Private),739000,262000,95,4
30,30,Massachusetts Maritime Academy(Out-of-State),721000,155000,76,4
31,31,Maine Maritime Academy(In-State),718000,103000,62,4
32,32,United States Coast Guard Academy(Service Academy),714000,0,87,4
33,33,Dartmouth College(Private),707000,265000,97,4
34,34,Carnegie Mellon University(Private),705000,260000,90,4
35,35,New Jersey Institute of Technology(In-State),704000,135000,61,5
36,36,Rensselaer Polytechnic Institute(Private),703000,260000,83,4
37,37,California Polytechnic State University-San Luis Obispo(In-State),699000,100000,80,5
38,38,New Mexico Institute of Mining and Technology(In-State),692000,79100,49,5
39,39,Missouri University of Science and Technology(Out-of-State),691000,149000,64,5
40,40,Yale University(Private),689000,261000,98,4
41,41,Virginia Military Institute(In-State),680000,111000,78,6
42,42,Lehigh University(Private),679000,240000,89,4
43,43,Maine Maritime Academy(Out-of-State),670000,152000,62,4
44,44,University of California-Berkeley(Out-of-State),662000,236000,92,4
45,45,California Polytechnic State University-San Luis Obispo(Out-of-State),654000,145000,80,5
46,46,Columbia University in the City of New York(Private),653000,272000,94,4
47,47,Capitol Technology University(Private),651000,144000,51,5
48,48,Rice University(Private),650000,229000,93,4
49,49,Michigan Technological University(In-State),649000,109000,67,5
50,49,New Jersey Institute of Technology(Out-of-State),649000,190000,61,5
51,51,Cornell University(Private),646000,258000,94,4
52,52,New Mexico Institute of Mining and Technology(Out-of-State),643000,128000,49,5
53,53,University of California-San Diego(In-State),642000,125000,87,4
54,54,Duke University(Private),641000,262000,95,4
55,55,Santa Clara University(Private),640000,251000,89,4
56,56,South Dakota School of Mines and Technology(In-State),635000,93500,48,5
57,57,Montana Tech of the University of Montana(In-State),634000,77400,46,5
58,58,University of Virginia-Main Campus(In-State),633000,114000,94,4
59,59,Cooper Union for the Advancement of Science and Art(Private),632000,247000,87,4
60,60,Clarkson University(Private),626000,244000,71,4
61,61,South Dakota School of Mines and Technology(Out-of-State),621000,108000,48,5
62,62,Georgetown University(Private),619000,263000,94,4
63,63,Brown University(Private),616000,257000,96,4
64,64,Washington and Lee University(Private),614000,243000,92,4
65,65,Milwaukee School of Engineering(Private),611000,193000,64,4
66,66,University of Washington-Bothell Campus(In-State),609000,109000,67,5
67,67,Claremont McKenna College(Private),604000,262000,93,4
68,68,Bentley University(Private),598000,240000,89,4
69,69,San Jose State University(In-State),597000,102000,62,5
70,69,Virginia Polytechnic Institute and State University(In-State),597000,103000,84,4
71,69,Yeshiva University(Private),597000,228000,82,4
72,72,Brigham Young University-Provo(Private),595000,71100,83,6
73,73,Manhattan College(Private),591000,221000,71,4
74,74,SUNY at Binghamton(In-State),590000,95600,83,4
75,74,Virginia Military Institute(Out-of-State),590000,201000,78,6
76,76,Michigan Technological University(Out-of-State),586000,172000,67,5
77,77,University of Illinois at Urbana-Champaign(In-State),585000,118000,85,4
78,78,MCPHS University(Private),583000,196000,78,4
79,78,Montana Tech of the University of Montana(Out-of-State),583000,129000,46,5
80,80,Villanova University(Private),581000,248000,90,4
81,81,Illinois Institute of Technology(Private),577000,236000,71,5
82,81,University of Maryland-College Park(In-State),577000,99300,86,4
83,83,Texas A & M University-College Station(In-State),575000,97100,80,5
84,84,University of Massachusetts-Lowell(In-State),573000,108000,56,5
85,85,Oregon Institute of Technology(In-State),572000,90000,47,5
86,86,University of Notre Dame(Private),571000,254000,95,4
87,87,Case Western Reserve University(Private),568000,242000,82,4
88,88,Bucknell University(Private),566000,257000,88,4
89,89,University of Michigan-Ann Arbor(In-State),559000,110000,91,4
90,89,Williams College(Private),559000,261000,94,4
91,91,Purdue University-Main Campus(In-State),557000,92300,76,5
92,92,University of California-Los Angeles(In-State),556000,133000,91,4
93,93,University of Washington-Seattle Campus(In-State),555000,107000,84,4
94,94,Johns Hopkins University(Private),552000,258000,92,4
95,94,San Jose State University(Out-of-State),552000,147000,62,5
96,96,California State Polytechnic University-Pomona(In-State),551000,98300,69,5
97,97,Embry-Riddle Aeronautical University-Daytona Beach(Private),549000,194000,55,5
98,98,George Mason University(In-State),545000,106000,70,4
99,99,University of California-San Diego(Out-of-State),544000,223000,87,4
100,100,Lafayette College(Private),543000,251000,89,4
101,101,Rutgers University-New Brunswick(In-State),542000,121000,80,4
102,102,SUNY at Binghamton(Out-of-State),540000,146000,83,4
103,103,The University of Texas at Austin(In-State),539000,104000,81,4
104,104,Colgate University(Private),538000,255000,90,4
105,105,Lawrence Technological University(Private),537000,180000,54,5
106,106,Wentworth Institute of Technology(Private),535000,200000,65,4
107,107,Wabash College(Private),534000,201000,72,4
108,108,Virginia Polytechnic Institute and State University(Out-of-State),531000,168000,84,4
109,109,Embry-Riddle Aeronautical University-Prescott(Private),529000,192000,63,5
110,109,Hamilton College(Private),529000,251000,92,4
111,111,CUNY Bernard M Baruch College(In-State),527000,116000,66,5
112,111,University of Alaska Fairbanks(In-State),527000,70500,25,5
113,113,University of Illinois at Urbana-Champaign(Out-of-State),525000,178000,85,4
114,114,University of Washington-Bothell Campus(Out-of-State),522000,196000,67,5
115,115,Boston College(Private),519000,257000,93,4
116,116,University of Alabama in Huntsville(In-State),518000,96200,49,5
117,116,University of Virginia-Main Campus(Out-of-State),518000,229000,94,4
118,118,College of William and Mary(In-State),516000,129000,91,4
119,119,Union College (New York)(Private),514000,253000,87,4
120,120,Fairfield University(Private),513000,243000,82,4
121,121,University of California-Irvine(In-State),512000,127000,87,4
122,121,University of Massachusetts-Lowell(Out-of-State),512000,169000,56,5
123,123,Florida Institute of Technology(Private),510000,223000,58,4
124,123,The University of Texas at Dallas(In-State),510000,102000,67,4
125,125,Oregon Institute of Technology(Out-of-State),509000,153000,47,5
126,125,Touro College(Private),509000,126000,45,4
127,127,California State Polytechnic University-Pomona(Out-of-State),506000,143000,69,5
128,128,University of California-Santa Barbara(In-State),505000,139000,82,4
129,129,Texas A & M University-College Station(Out-of-State),502000,169000,80,5
130,130,Swarthmore College(Private),501000,254000,94,4
131,130,University of Maryland-Baltimore County(In-State),501000,103000,64,5
132,132,Rutgers University-Newark(In-State),500000,122000,66,5
133,133,CUNY Bernard M Baruch College(Out-of-State),499000,144000,66,5
134,134,Drexel University(Private),497000,267000,70,5
135,135,Vanderbilt University(Private),496000,252000,92,4
136,136,Stony Brook University(In-State),495000,93300,72,4
137,136,University of Maryland-College Park(Out-of-State),495000,182000,86,4
138,138,James Madison University(In-State),493000,96200,82,4
139,138,University of California-Davis(In-State),493000,136000,85,5
140,138,West Virginia University Institute of Technology(In-State),493000,74700,21,5
141,141,University of Delaware(In-State),488000,106000,81,4
142,142,Loyola University Maryland(Private),486000,244000,83,4
143,143,Miami University-Oxford(In-State),485000,119000,78,4
144,144,Purdue University-Main Campus(Out-of-State),482000,168000,76,5
145,144,Rutgers University-New Brunswick(Out-of-State),482000,181000,80,4
146,146,Northwestern University(Private),481000,267000,94,4
147,146,University of Alaska Fairbanks(Out-of-State),481000,116000,25,5
148,148,Bryant University(Private),480000,225000,77,4
149,148,University of Connecticut(In-State),480000,115000,82,4
150,150,University of Houston(In-State),479000,94000,51,5
151,151,California State University-East Bay(In-State),477000,93500,48,5
152,152,Wake Forest University(Private),476000,254000,88,4
153,153,George Washington University(Private),475000,257000,84,4
154,153,The College of New Jersey(In-State),475000,127000,87,4
155,156,University of Southern California(Private),472000,264000,92,4
156,157,University of Alabama in Huntsville(Out-of-State),471000,143000,49,5
157,158,Brigham Young University-Idaho(Private),468000,48200,56,6
158,158,University of Washington-Seattle Campus(Out-of-State),468000,194000,84,4
159,160,George Mason University(Out-of-State),465000,187000,70,4
160,160,North Carolina State University at Raleigh(In-State),465000,90600,77,5
161,160,Tufts University(Private),465000,258000,92,4
162,163,Clemson University(In-State),461000,114000,81,4
163,163,University of Richmond(Private),461000,242000,88,4
164,163,Washington University in St Louis(Private),461000,266000,94,4
165,166,University of San Francisco(Private),460000,244000,72,4
166,167,New York University(Private),459000,268000,85,4
167,167,Seattle University(Private),459000,222000,75,4
168,169,University of California-Los Angeles(Out-of-State),458000,230000,91,4
169,170,Farmingdale State College(In-State),457000,92400,49,5
170,170,The University of Texas at Arlington(In-State),457000,91900,48,5
171,172,California State University-Chico(In-State),455000,92100,69,5
172,172,West Virginia University Institute of Technology(Out-of-State),455000,112000,21,5
173,174,Northeastern University(Private),454000,247000,86,5
174,175,Rochester Institute of Technology(Private),453000,201000,66,5
175,176,Emory University(Private),452000,249000,91,4
176,177,University of Colorado Boulder(In-State),451000,120000,70,4
177,177,University of Maryland-Baltimore County(Out-of-State),451000,153000,64,5
178,177,University of Wisconsin-Platteville(In-State),451000,73300,54,5
179,180,Citadel Military College of South Carolina(In-State),449000,107000,69,4
180,180,College of the Holy Cross(Private),449000,243000,92,4
181,180,University of Minnesota-Twin Cities(In-State),449000,104000,78,4
182,183,Texas Tech University(In-State),446000,89700,60,5
183,184,Pennsylvania State University-Main Campus(In-State),445000,139000,86,4
184,184,The University of Texas at Dallas(Out-of-State),445000,167000,67,4
185,186,Saint Mary's College of California(Private),444000,242000,73,4
186,186,Weber State University(In-State),444000,74400,32,5
187,188,University of Michigan-Ann Arbor(Out-of-State),443000,226000,91,4
188,189,Felician University(Private),442000,189000,41,5
189,189,Washington Adventist University(Private),442000,131000,38,5
190,191,Rutgers University-Newark(Out-of-State),440000,182000,66,5
191,191,The University of Texas at Austin(Out-of-State),440000,203000,81,4
192,193,Ottawa University-Ottawa(Private),438000,156000,31,4
193,193,Stony Brook University(Out-of-State),438000,151000,72,4
194,196,LeTourneau University(Private),436000,163000,53,4
195,197,Iowa State University(In-State),435000,77200,74,5
196,197,University of Houston(Out-of-State),435000,137000,51,5
197,197,University of Utah(In-State),435000,89300,65,5
198,200,Mount Carmel College of Nursing(Private),434000,94500,73,4
199,200,University of Massachusetts-Amherst(In-State),434000,110000,76,4
200,202,California State University-East Bay(Out-of-State),433000,138000,48,5
201,202,James Madison University(Out-of-State),433000,156000,82,4
202,204,The College of New Jersey(Out-of-State),432000,170000,87,4
203,205,University of Arizona(In-State),431000,103000,60,4
204,206,University of Florida(In-State),430000,81600,87,4
205,207,College of William and Mary(Out-of-State),428000,217000,91,4
206,208,CUNY Queens College(In-State),424000,107000,60,5
207,208,University of Oklahoma-Norman Campus(In-State),424000,99900,68,5
208,210,San Francisco State University(In-State),423000,97900,53,5
209,210,University of Wisconsin-Madison(In-State),423000,98200,85,4
210,212,Louisiana State University and Agricultural & Mechanical College(In-State),422000,102000,68,5
211,213,Boston University(Private),421000,259000,87,4
212,213,New York Institute of Technology(Private),421000,207000,44,5
213,215,Pace University-New York(Private),420000,242000,59,4
214,215,University of Wisconsin-Platteville(Out-of-State),420000,104000,54,5
215,217,Haverford College(Private),419000,262000,90,4
216,217,Miami University-Oxford(Out-of-State),419000,185000,78,4
217,217,University of Illinois at Chicago(In-State),419000,118000,58,5
218,220,Farmingdale State College(Out-of-State),418000,131000,49,5
219,220,University of Cincinnati-Main Campus(In-State),418000,111000,67,5
220,220,University of Minnesota-Twin Cities(Out-of-State),418000,136000,78,4
221,223,Michigan State University(In-State),417000,103000,78,4
222,223,University of the Pacific(Private),417000,239000,68,4
223,225,The University of Texas at Arlington(Out-of-State),416000,133000,48,5
224,226,Gonzaga University(Private),415000,208000,84,5
225,226,University of California-Irvine(Out-of-State),415000,224000,87,4
226,228,Baptist Memorial College of Health Sciences(Private),413000,88700,72,4
227,228,North Dakota State University-Main Campus(In-State),413000,80400,55,5
228,228,University of Delaware(Out-of-State),413000,180000,81,4
229,231,Pennsylvania State University-Penn State Erie-Behrend College(In-State),412000,127000,63,4
230,231,San Diego State University(In-State),412000,105000,73,5
231,233,California State University-Chico(Out-of-State),411000,137000,69,5
232,233,Marquette University(Private),411000,204000,81,4
233,235,Texas Tech University(Out-of-State),410000,126000,60,5
234,235,Utah State University(In-State),410000,74000,47,5
235,235,Washington State University(In-State),410000,111000,67,5
236,238,California State University-Sacramento(In-State),409000,95700,49,5
237,238,Weber State University(Out-of-State),409000,110000,32,5
238,240,Oregon State University(In-State),408000,101000,63,5
239,240,University of California-Santa Barbara(Out-of-State),408000,236000,82,4
240,242,Amherst College(Private),406000,261000,93,4
241,242,Arizona State University-Tempe(In-State),406000,100000,67,4
242,244,Saint Johns University(Private),405000,205000,79,4
243,245,University of Mary Washington(In-State),404000,101000,72,4
244,246,Brandeis University(Private),402000,258000,90,4
245,246,Molloy College(Private),402000,185000,76,5
246,246,North Carolina State University at Raleigh(Out-of-State),402000,153000,77,5
247,249,California State University-Fresno(In-State),401000,80800,57,5
248,249,California State University-Long Beach(In-State),401000,91400,69,5
249,249,Prairie View A & M University(In-State),401000,83300,31,5
250,252,Hofstra University(Private),400000,229000,64,4
251,252,Lamar University(In-State),400000,85700,33,5
252,254,Grove City College(Private),399000,105000,81,4
253,255,University of Alaska Anchorage(In-State),397000,87800,24,5
254,255,University of Connecticut(Out-of-State),397000,197000,82,4
255,257,CUNY Queens College(Out-of-State),396000,135000,60,5
256,257,Regis University(Private),396000,191000,68,4
257,257,University of California-Davis(Out-of-State),396000,233000,85,5
258,257,University of Chicago(Private),396000,275000,94,4
259,261,Indiana Institute of Technology(Private),394000,152000,33,5
260,261,University of Dayton(Private),394000,211000,75,4
261,261,University of Iowa(In-State),394000,84400,72,4
262,261,University of the Sciences(Private),394000,223000,70,4
263,265,California State University-Northridge(In-State),392000,85400,50,5
264,265,Louisiana Tech University(In-State),392000,76400,52,4
265,267,Pennsylvania State University-Main Campus(Out-of-State),391000,193000,86,4
266,267,University of Rhode Island(In-State),391000,111000,63,4
267,269,American University(Private),389000,239000,81,4
268,269,Catholic University of America(Private),389000,233000,70,4
269,269,Loyola Marymount University(Private),389000,239000,83,4
270,272,University at Buffalo(In-State),388000,99400,74,4
271,273,Clemson University(Out-of-State),387000,188000,81,4
272,274,California State University-Fullerton(In-State),385000,100000,62,5
273,274,SUNY at Albany(In-State),385000,94700,66,4
274,274,Vaughn College of Aeronautics and Technology(Private),385000,176000,39,4
275,274,West Virginia University(In-State),385000,80500,57,5
276,278,College of Staten Island CUNY(In-State),384000,115000,31,4
277,278,Fordham University(Private),384000,266000,80,4
278,278,Iowa State University(Out-of-State),384000,129000,74,5
279,281,Pennsylvania State University-Penn State Erie-Behrend College(Out-of-State),382000,157000,63,4
