,Rank,Metro Area,2018,2019,% Change
0,1,Durham NC,43614,47955,10.0
1,2,Corvalis OR,42976,46164,7.4
2,3,Ann Arbor MI,43182,45668,5.8
3,4,Santa Cruz-Watsonville CA,43599,45396,4.1
4,5,Gainesville FL,40221,44508,10.7
5,6,Santa Barbara-Santa Maria-Goleta CA,40424,44294,9.6
6,7,Washington-Arlington-Alexandria DC-VA-MD-WV,41502,43797,5.5
7,8,San Francisco-Oakland-Fremont CA,41193,43674,6.0
8,9,Atlanta-Sandy Springs-Marietta GA,40215,43290,7.6
9,10,Charlottesville VA,39754,42476,6.8
10,11,Montgomery AL,39533,42347,7.1
11,12,Iowa City IA,39165,41727,6.5
12,13,Savannah GA,36582,41583,13.7
13,14,Jackson MS,38670,41453,7.2
14,15,Tuscaloosa AL,39014,40804,4.6
15,16,Columbia SC,38766,40778,5.2
16,17,Tallahassee FL,38458,40504,5.3
17,18,Rochester MN,39227,40449,3.1
18,19,Santa Fe NM,36764,40447,10.0
19,20,Morgantown WV,39803,40430,1.6
20,21,Columbia MO,37145,40146,8.1
21,22,Charleston-North Charleston SC,37329,40106,7.4
22,23,Jackson TN,37216,40103,7.8
23,24,Albany GA,36085,39935,10.7
24,25,Boulder CO,37171,39842,7.2
25,26,New Orleans-Metairie-Kenner LA,36695,39825,8.5
26,27,New York-Northern New Jersey-Long Island NY-NJ-PA,37763,39707,5.1
27,28,Macon GA,37020,39631,7.1
28,29,Baltimore-Towson MD,37421,39478,5.5
29,30,Winston-Salem NC,37919,39234,3.5
30,31,Ithaca NY,36372,39192,7.8
31,32,Los Angeles-Long Beach-Santa Ana CA,36728,39181,6.7
32,33,Bridgeport-Stamford-Norwalk CT,37014,39064,5.5
33,34,Miami-Fort Lauderdale-Pompano Beach FL,35868,39059,8.9
34,35,Athens-Clarke County GA,37072,38854,4.8
35,36,Chicago-Naperville-Joliet IL-IN-WI,36540,38751,6.1
36,37,Columbus GA-AL,35552,38740,9.0
37,38,Greenville NC,36302,38694,6.6
38,39,Memphis TN-AR-MS,35955,38469,7.0
39,40,Huntsville AL,35904,38215,6.4
40,41,Birmingham-Hoover AL,36109,38120,5.6
41,42,Lexington-Fayette KY,35080,38039,8.4
42,43,Charlotte-Gastonia-Concord NC-SC,35724,37961,6.3
43,44,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,35538,37954,6.8
44,45,San Diego-Carlsbad-San Marcos CA,35571,37943,6.7
45,46,Hattiesburg MS,35546,37866,6.5
46,47,Raleigh-Cary NC,35521,37854,6.6
47,48,Auburn-Opelika AL,37369,37828,1.2
48,49,Portland-Vancouver-Beaverton OR-WA,35813,37818,5.6
49,50,Trenton-Ewing NJ,36998,37719,1.9
