UnitID,in-state-tuitition-2018
180203,2410
222178,33330
138558,3503
488031,
172866,17661
412173,
108232,21252
439969,10765
126182,9440
188429,37170
188438,5119
168528,36010
444334,
444343,
491163,
481234,
231411,13250
444361,
133872,14400
205391,27194
138600,39960
134811,17698
217615,4828
126207,2756
100654,9857
101949,4380
100724,11068
199786,2036
102580,9350
103501,
442523,7814
102669,20760
188526,33621
138716,5675
138682,2712
128498,31140
168546,43050
210571,43454
175342,6888
237118,26610
172918,5410
188641,28114
156189,11550
474997,16648
108807,1352
161688,7240
210669,45970
200873,5000
152798,18226
154642,3584
217624,13140
110468,14310
168591,38768
168607,6630
363590,11274
443854,11274
438647,10407
126401,12015
460358,12510
182148,12510
443748,7912
445434,12057
444024,11274
137801,12879
127787,12510
210775,33640
238193,28277
222567,2726
222576,3168
457527,
490081,5770
188687,17085
142887,33220
108852,34170
188678,34170
219505,10074
457688,
441052,
109040,
447768,
461005,
443599,10800
109086,28705
441636,14338
445027,10992
438586,11425
445133,14640
164447,34470
116846,30938
475714,
461263,
188854,37370
232797,14886
453455,14886
157021,14886
453464,14886
449339,6880
109208,1104
461573,
131159,46615
433004,21058
447263,15388
164465,54310
100690,6900
150048,15830
150066,29710
217633,26970
138761,16560
168740,28436
457299,
222822,4080
222831,7201
164492,37130
161767,7706
172954,5584
172963,5059
109350,1124
483018,35568
201016,15980
383950,15980
175528,15980
210890,19890
441511,5100
237136,14290
197869,7302
168786,31244
126289,3677
211088,42330
367936,13438
145770,13438
442222,13438
448734,13438
366748,13438
450526,13438
447272,13438
450535,13438
419457,13438
436438,13438
436094,13438
456348,13438
452090,13438
450544,13438
121983,13438
137148,13438
420866,13438
428268,13438
410502,18742
448576,18742
441973,18742
450094,18742
117113,18742
117928,18742
173984,13438
105899,24958
421708,15524
487375,19345
482990,19345
448886,10792
420574,10301
483124,9222
104151,10792
407009,10301
104160,2660
106306,8760
107327,2570
107318,3154
106449,3570
106458,8478
420538,2832
440402,2760
106467,7104
222877,13600
138789,5439
201061,31290
109651,42008
404994,12728
156213,29500
447777,
197887,2602
154022,11248
156231,4080
201104,20700
128577,4356
454829,4230
188942,7500
164562,39598
446127,12625
447935,11545
246813,2794
419244,
138901,3416
138840,2816
183655,6291
485768,5400
100858,10968
100830,8020
173045,37615
138956,2794
482149,8604
143084,40908
219000,31960
444556,
201177,18000
143118,23520
222983,38800
222992,10890
219602,7913
446048,19970
231420,33350
449931,10800
447847,74514
176628,28020
109785,37506
474863,10200
164580,49664
206817,17700
139010,3270
128586,8000
476601,12700
245777,8600
490513,9450
449658,9500
168847,9360
154688,28960
109819,1325
201195,31668
150136,9774
161864,3074
176664,13850
106546,9867
219639,11542
223117,6000
444398,6240
155070,17720
189088,52906
167792,53418
189097,52662
132471,29850
109907,1104
197911,29998
154697,3456
160977,52042
235671,4677
437103,4221
158343,
168883,7608
380359,3040
164632,33557
164641,22320
223232,43790
476717,9300
384254,37788
160995,
197966,2518
164720,38250
247065,13295
452373,13295
444413,9375
126359,11963
190956,11014
175421,24250
156286,40750
234669,3699
180814,7752
238324,20500
234696,3461
197984,18500
201283,3541
219709,32820
238333,48706
173124,8677
217721,19958
154712,28480
145619,33900
165884,17450
197993,18513
230816,51920
164739,48000
156295,25760
183743,8046
125170,1230
189228,25300
183789,25300
164748,42750
213534,11260
164775,5212
139144,35176
485999,9700
189273,9150
189264,8500
486196,9100
488314,9350
154721,26922
237181,28454
486284,13850
173142,26830
458113,8100
150145,28030
154749,27720
173160,36210
219718,16552
110060,7898
132602,14410
139153,9880
475635,23220
102429,4766
234711,4149
157553,4080
196079,9523
110097,38448
100937,35804
102030,4440
200022,3832
143279,7500
219046,8602
106625,3120
143288,21992
180054,3493
238397,4329
198011,2532
223427,4056
183822,29300
211158,10500
450128,
434821,
175430,11760
208275,5998
446774,4032
198039,2601
231536,5252
231554,24800
237215,6728
156392,4160
201371,31672
217749,16500
142090,12080
142115,7326
490203,15869
189413,11025
158431,4079
164872,21174
164614,12600
164924,53346
164988,52082
161004,51848
162007,8064
201432,5060
201441,11057
202161,13980
211200,15380
143358,32930
165015,53537
262086,12360
223506,3735
139199,28510
156356,21550
198066,28640
139205,17740
152992,29786
484932,4776
231581,33820
165024,10012
230047,5400
142522,4018
230038,5460
215646,
251075,
214254,
211617,
213002,
458690,
447102,
163736,
440323,
164058,
443827,
458706,
458186,
443836,
382896,
204626,
246266,
445328,
447120,
439127,
229036,
458283,
440332,
374875,
118967,
227836,
366960,
246202,
447634,
432302,
118259,
431886,
364955,
118277,
161776,
118286,
165033,4656
459091,14850
230056,14850
183859,7261
223524,3330
444088,
104090,
404055,
438179,
132709,1415
139214,12945
217156,53419
198084,2532
180878,15190
219790,25600
454458,15433
475583,15447
154794,15400
110219,13975
369516,15400
475699,17935
188517,16694
189556,16601
458502,16625
189583,16995
202684,17098
369905,17492
189592,17213
459107,17223
410496,16855
239929,15902
480091,14383
201469,17161
231828,17288
374972,17288
189574,17550
189565,16701
231785,17624
451750,17707
217165,42109
210492,21126
211273,50500
211291,53986
211307,8138
153001,32854
165112,4224
154800,3270
211343,7800
150163,39860
110246,1368
198109,12626
110334,1268
211352,31350
215114,26493
198118,2508
183910,33950
110361,32256
110918,9330
110370,47266
