State,Latitude,Longitude,City,total_seeking_aid,number_awarded_loans,Amount_loans_awarded,avg_loan,percent_awarded
AL,32.6010112,-86.6807365,Alabama,44731,18369,111179169,2485.506003,41.06548032
AK,61.3025006,-158.7750198,Alaska,2660,913,4708727,1770.19812,34.32330827
AZ,34.1682185,-111.930907,Arizona,59396,26869,183729219,3093.292797,45.237053
AR,34.7519275,-92.1313784,Arkansas,25042,11096,61725825,2464.891981,44.30955994
CA,37.2718745,-119.2704153,California,281331,76512,444826446,1581.14977,27.19643409
CO,38.9979339,-105.550567,Colorado,38379,18355,107874162,2810.760103,47.82563381
CT,41.5187835,-72.757507,Connecticut,26669,12156,68333956,2562.299149,45.58101166
DE,39.145251,-75.4189206,Delaware,8139,3922,21863311,2686.240447,48.18773805
DC,38.8993487,-77.0145666,District of Columbia,9588,4653,27051814,2821.424072,48.52941176
FL,27.9757279,-83.8330166,Florida,125104,51090,312587079,2498.617782,40.83802277
GA,32.6781248,-83.2229757,Georgia,69407,33685,187885417,2707.009624,48.53256876
HI,20.46,-157.505,Hawaii,6980,1846,9590167,1373.949427,26.4469914
ID,45.4945756,-114.1424303,Idaho,10764,4694,24176353,2246.037997,43.60832404
IL,39.739318,-89.504139,Illinois,82402,35627,198502446,2408.951797,43.23560108
IN,39.7662195,-86.441277,Indiana,56550,27893,161449741,2854.990999,49.3244916
IA,41.9383166,-93.389798,Iowa,32940,18733,103569724,3144.1932,56.87006679
KS,38.4987789,-98.3200779,Kansas,27937,13328,75070353,2687.130078,47.70734152
KY,37.8222935,-85.7682399,Kentucky,33343,16357,89348707,2679.684102,49.05677354
LA,30.9733766,-91.4299097,Louisiana,36958,17714,98464887,2664.237432,47.9300828
ME,45.2185133,-69.0148656,Maine,10073,6082,33620822,3337.716867,60.37923161
MD,38.8063524,-77.2684162,Maryland,35316,14428,84397026,2389.767414,40.85400385
MA,42.0629398,-71.718067,Massachusetts,65741,33575,182636002,2778.114145,51.07162958
MI,44.9435598,-86.4158049,Michigan,69505,34310,185474063,2668.499576,49.36335515
MN,46.4418595,-93.3655146,Minnesota,38242,21485,120323201,3146.362664,56.18168506
MS,32.5851062,-89.8772196,Mississippi,29168,11129,57968272,1987.392759,38.15482721
MO,38.3046615,-92.437099,Missouri,48595,22764,124622557,2564.513983,46.84432555
MT,46.6797995,-110.044783,Montana,7729,3742,21167031,2738.650666,48.41506016
NE,41.5008195,-99.680902,Nebraska,16304,8402,42911638,2631.969946,51.53336605
NV,38.502032,-117.0230604,Nevada,14996,6360,38027569,2535.847493,42.41130968
NH,44.0012306,-71.5799231,New Hampshire,13219,8495,48259449,3650.763976,64.26356003
NJ,40.1430058,-74.7311156,New Jersey,57445,22223,124507984,2167.429437,38.68569936
NM,34.1662325,-106.0260685,New Mexico,15670,4901,27311746,1742.9321,31.27632419
NY,40.7056258,-73.97968,New York,177623,74866,412606069,2322.93154,42.14882082
NC,35.2145629,-79.8912675,North Carolina,72014,32160,190003296,2638.42164,44.65798317
ND,47.4678819,-100.3022655,North Dakota,8318,4692,26059268,3132.876653,56.40779033
OH,40.1903624,-82.6692525,Ohio,88479,51744,293740028,3319.884131,58.48167362
OK,35.3097654,-98.7165585,Oklahoma,32541,14078,81850783,2515.312467,43.26234596
OR,44.1419049,-120.5380993,Oregon,24518,11686,64723508,2639.836365,47.66294151
PA,40.9945928,-77.6046984,Pennsylvania,115234,72984,423229663,3672.784621,63.33547391
RI,41.5827282,-71.5064508,Rhode Island,13601,8157,45989585,3381.338505,59.97353136
SC,33.62505,-80.9470381,South Carolina,39386,19857,113335892,2877.567968,50.41639161
SD,44.2126995,-100.2471641,South Dakota,7780,5236,29577196,3801.696144,67.30077121
TN,35.830521,-85.9785989,Tennessee,54277,21317,118408740,2181.56383,39.27446248
TX,31.1693363,-100.0768425,Texas,183043,75080,440347187,2405.703507,41.01768437
UT,39.4997605,-111.547028,Utah,25932,7996,41991022,1619.274333,30.83449021
VT,43.8717545,-72.4477828,Vermont,6596,3955,22310313,3382.400394,59.96058217
VA,38.0033855,-79.4587861,Virginia,67195,29369,178202824,2652.025061,43.70712107
WA,38.8993487,-77.0145665,Washington,43628,16496,97441879,2233.471142,37.81058036
WV,38.9201705,-80.1816905,West Virginia,16646,9155,55562776,3337.905563,54.99819777
WI,44.7862968,-89.8267049,Wisconsin,43268,23831,128857270,2978.119395,55.07765554
WY,43.000325,-107.5545669,Wyoming,4517,1514,7916626,1752.629179,33.51782156
