Year,Direct Loans,DL Recipients,FFEL,FFEl Recipients,Perkins,Perkins Recipients,Total loans,Total Recipients
2007,106.8,7.0,401.9,22.6,8.2,2.8,516.0,28.3
2008,122.5,7.7,446.5,23.7,8.5,2.9,577.0,29.9
2009,154.9,9.2,493.3,25.0,8.7,3.0,657.0,32.1
2010,224.5,14.4,516.7,25.1,8.4,2.9,749.8,34.3
2011,350.1,19.4,489.8,23.8,8.3,2.9,848.2,36.5
2012,488.3,22.8,451.7,22.4,8.2,2.9,948.2,38.3
2013,2240.0,97.4,1734.4,85.80000000000001,32.8,11.8,4007.5,155.9
2014,2707.8,107.30000000000001,1624.3,80.0,32.9,11.8,4365.1,160.60000000000002
2015,3175.1000000000004,115.9,1501.1999999999998,73.80000000000001,32.8,11.600000000000001,4709.0,164.5
2016,3612.1,122.8,1385.3,67.9,32.199999999999996,11.099999999999998,5029.599999999999,167.3
2017,4037.3,129.0,1267.2,61.9,31.200000000000003,10.4,5335.700000000001,169.29999999999998
2018,4437.1,134.2,1167.0,56.0,29.700000000000003,9.7,5633.8,170.5
2019,1163.3,34.5,277.0,13.1,6.9,2.2,1447.1,43.0
