,State,2018,2019,% Change
0,Alabama,33742.0,35674.0,5.7
1,Alaska,30085.0,32096.0,6.7
2,Arizona,32705.0,34740.0,6.2
3,Arkansas,30345.0,32203.0,6.1
4,California,35238.0,37468.0,6.3
5,Colorado,33521.0,35658.0,6.4
6,Connecticut,34203.0,36025.0,5.3
7,Delaware,34000.0,36098.0,6.2
8,District of Columbia,52684.0,55729.0,5.8
9,Florida,33833.0,36706.0,8.5
10,Georgia,37644.0,40692.0,8.1
11,Hawaii,33084.0,35009.0,5.8
12,Idaho,31121.0,32351.0,4.0
13,Illinois,34821.0,36975.0,6.2
14,Indiana,30218.0,31992.0,5.9
15,Iowa,27886.0,29416.0,5.5
16,Kansas,29409.0,31239.0,6.2
17,Kentucky,30134.0,32174.0,6.8
18,Louisiana,32516.0,34508.0,6.1
19,Maine,30864.0,32521.0,5.4
20,Maryland,38496.0,40630.0,5.5
21,Massachusetts,34671.0,36181.0,4.4
22,Michigan,33243.0,35307.0,6.2
23,Minnesota,30395.0,32052.0,5.5
24,Mississippi,32431.0,35478.0,9.4
25,Missouri,31752.0,33607.0,5.8
26,Montana,29250.0,31030.0,6.1
27,Nebraska,28183.0,30013.0,6.5
28,Nevada,31629.0,33863.0,7.1
29,New Hampshire,31931.0,34072.0,6.7
30,New Jersey,35104.0,37370.0,6.5
31,New Mexico,30884.0,33610.0,8.8
32,New York,36032.0,37753.0,4.8
33,North Carolina,33959.0,36257.0,6.8
34,North Dakota,27779.0,29267.0,5.4
35,Ohio,32575.0,34365.0,5.5
36,Oklahoma,29884.0,31673.0,6.0
37,Oregon,35047.0,36989.0,5.5
38,Pennsylvania,32698.0,34840.0,6.6
39,Rhode Island,31739.0,33373.0,5.1
40,South Carolina,34515.0,36552.0,5.9
41,South Dakota,27082.0,28782.0,6.3
42,Tennessee,32788.0,35016.0,6.8
43,Texas,30677.0,32441.0,5.8
44,Utah,30244.0,31671.0,4.7
45,Vermont,32083.0,34221.0,6.7
46,Virginia,34930.0,36885.0,5.6
47,Washington,31978.0,34193.0,6.9
48,West Virginia,29931.0,31222.0,4.3
49,Wisconsin,28955.0,30556.0,5.5
50,Wyoming,27780.0,28974.0,4.3
51,,,,
